x,y,z,labels
-0.08249434,11.694407,9.4592495,-1
1.7447139,12.964531,9.736645,8
2.6868525,11.943775,8.3959255,3
2.9341393,12.217135,10.364938,7
3.5177312,12.530393,9.964344,-1
1.8356117,12.3720045,10.692099,-1
2.0111585,10.790455,10.927458,2
1.277436,13.0119705,8.920329,-1
1.0012226,12.606672,8.458617,18
1.760302,13.692832,10.525961,-1
2.5701659,12.358029,11.093032,7
0.79610646,13.185422,9.604018,5
2.1007347,12.046048,9.869719,-1
2.464329,13.013798,10.210952,-1
-0.06465918,11.470305,8.891505,20
3.078675,12.166214,9.406831,-1
2.1110036,11.8927555,11.221178,7
2.4273896,10.799007,10.723516,-1
0.72409403,12.488802,9.571846,-1
0.06916556,12.496523,9.704338,-1
2.4794815,12.299127,11.171381,7
1.5332034,12.818772,7.8517427,-1
0.75691915,12.581134,10.260374,-1
0.83386296,12.477466,9.708223,-1
3.490962,11.67209,10.734635,-1
2.9559727,13.729259,8.564456,9
2.5984187,12.090018,10.86322,7
2.141962,13.926421,8.581591,-1
0.91176575,12.721712,10.305844,-1
1.9766362,12.615221,10.664294,-1
2.0737264,12.50171,10.684867,7
3.057259,11.166403,8.443848,1
2.057928,13.546787,8.473947,-1
2.0161257,12.730761,9.754546,8
1.7206856,12.766962,10.470078,-1
0.800576,13.170333,9.582852,5
3.334524,11.654034,10.02122,-1
3.3331435,11.657922,10.039616,-1
2.0801473,11.905559,8.26465,3
1.1078084,13.4508705,8.119128,-1
1.831,12.3924675,8.013063,-1
4.1991334,12.345356,10.157757,0
2.251361,13.217812,8.333334,-1
0.42077553,12.994337,9.408319,-1
0.6015632,13.569705,8.747856,13
1.1886206,14.012142,8.690841,12
1.9635786,12.202752,10.973379,7
-0.09078217,12.405882,9.408154,19
1.3091033,13.53142,8.428785,-1
2.0267184,10.778515,10.939861,2
2.8321397,11.915965,8.420837,3
1.7757555,12.589593,8.789418,-1
1.4940128,12.073314,8.874845,-1
1.0939475,12.073368,9.223554,11
